,Number,Title,Overview,Genres
0,1,The Batman,second year fight crime batman uncover corruption gotham city connect family face serial killer know riddler,Crime
1,2,Uncharted,young street smart nathan drake wisecrack partner victor sully sullivan embark dangerous pursuit greatest treasure never find also track clue may lead nathan long lose brother,Action
2,3,Spider-Man: No Way Home,peter parker unmask longer able separate normal life high stake super hero ask help doctor strange stake become even dangerous force discover truly mean spider man,Action
3,4,Turning Red,thirteen year old mei experience awkwardness teenager twist get excite transform giant red panda,Animation
4,5,Sonic the Hedgehog 2,settle green hill sonic eager prove take true hero test come dr robotnik return time new partner knuckle search emerald power destroy civilizations sonic team sidekick tail together embark globe trot journey find emerald fall wrong hand,Action
5,6,The Outfit,leonard english tailor use craft suit london world famous savile row personal tragedy end chicago operate small tailor shop rough part town make beautiful clothe people around afford family vicious gangsters,Drama
6,7,365 Days: This Day,laura massimo back hotter ever reunite couple new begin complicate massimo family tie mysterious man enter laura life win heart trust cost,Romance
7,8,Moonfall,mysterious force knock moon orbit around earth send hurtle collision course life know,Action
8,9,Yaksha: Ruthless Operations,nickname human devour spirit ruthless leader overseas black ops team take dangerous mission city riddle spy,Action
9,10,Encanto,tale extraordinary family madrigal live hide mountains colombia magical house vibrant town wondrous charm place call encanto magic encanto bless every child family unique gift super strength power heal every child except one mirabel discover magic surround encanto danger mirabel decide ordinary madrigal might exceptional family last hope,Animation
10,11,All the Old Knives,cia discover one agents leak information cost people live veteran operative henry pelham assign root mole former lover colleague celia harrison,Thriller
11,12,Blacklight,travis block shadowy government agent specialize remove operatives whose cover expose uncover deadly conspiracy within rank reach highest echelons power,Action
12,13,War of the Worlds: Annihilation,mother son find face brutal alien invasion survival depend discover unthinkable truth enemy,Science Fiction
13,14,The Adam Project,accidentally crash land time travel fighter pilot adam reed team year old self mission save future,Action
14,15,Pil's Adventures,pil little vagabond girl live streets medieval city roc en brume along three tame weasels survive food steal castle sinister regent tristain one day escape guard pil disguise princess thus embark upon mad delirious adventure together crobar big clumsy guard think noble rigolin young crackpot jester pil go save roland rightful heir throne curse spell adventure turn entire kingdom upside teach pil nobility find us,Adventure
15,16,Hotel Transylvania: Transformania,van helsing mysterious invention monsterfication ray go haywire drac monster pal transform humans johnny become monster new mismatch body drac johnny must team race across globe find cure late drive crazy,Animation
16,17,The Grandmother,paris model must return madrid grandmother raise stroke spend days relative turn unexpected nightmare,Horror
17,18,Black Crab,end apocalyptic war save daughter reluctant soldier embark desperate mission cross freeze sea carry top secret cargo,Action
