Number,Genres,Overview,Title,,,,,,,,,,,,
0,Adventure,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",Toy Story 4,,,,,,,,,,,,
1,Action,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",Spider-Man: Far from Home,,,,,,,,,,,,
2,Action,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",Alita: Battle Angel,,,,,,,,,,,,
3,Action,A boy is given the ability to become an adult superhero in times of need with a single magic word.,Shazam!,,,,,,,,,,,,
4,Horror,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her ?œsafely??behind sacred glass and enlisting a priest?™s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target?”the Warrens' ten-year-old daughter, Judy, and her friends.",Annabelle Comes Home,,,,,,,,,,,,
5,Action,"JJ, aka John Shaft Jr., may be a cyber security expert with a degree from MIT, but to uncover the truth behind his best friend?™s untimely death, he needs an education only his dad can provide. Absent throughout JJ?™s youth, the legendary locked-and-loaded John Shaft agrees to help his progeny navigate Harlem?™s heroin-infested underbelly.",Shaft,,,,,,,,,,,,
6,Thriller,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home. When tragedy strikes, Louis turns to his neighbour Jud Crandall, setting off a perilous chain reaction that unleashes an unspeakable evil with horrific consequences.",Pet Sematary,,,,,,,,,,,,
7,Crime,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin?™s guild, the High Table, John Wick is excommunicado, but the world?™s most ruthless hit men and women await his every turn.",John Wick: Chapter 3 ??Parabellum,,,,,,,,,,,,
8,Animation,"23rd movie in the ""Detective Conan"" franchise.",Detective Conan: The Fist of Blue Sapphire,,,,,,,,,,,,
9,Adventure,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.,Aladdin,,,,,,,,,,,,
10,Animation,"Subaru and friends finally get a moment of peace, and Subaru goes on a certain secret mission that he must not let anyone find out about! However, even though Subaru is wearing a disguise, Petra and other children of the village immediately figure out who he is. Now that his mission was exposed within five seconds of it starting, what will happen with Subaru's ""date course"" with Emilia?",Re: Zero kara Hajimeru Isekai Seikatsu - Memory Snow,,,,,,,,,,,,
11,Action,"The story follows Carol Danvers as she becomes one of the universe?™s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",Captain Marvel,,,,,,,,,,,,
12,Adventure,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Avengers: Endgame,,,,,,,,,,,,
13,Science Fiction,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",Dark Phoenix,,,,,,,,,,,,
14,Adventure,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",Avengers: Infinity War,,,,,,,,,,,,
15,Animation,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",Cars,,,,,,,,,,,,
16,Action,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",Men in Black: International,,,,,,,,,,,,
17,Animation,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless??discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup?™s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",How to Train Your Dragon: The Hidden World,,,,,,,,,,,,
18,Drama,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship.,After,,,,,,,,,,,,
19,Adventure,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",Dumbo,,,,,,,,,,,,
20,Horror,"Karen, a single mother, gifts her son Andy a Buddi doll for his birthday, unaware of its more sinister nature. A contemporary re-imagining of the 1988 horror classic.",Child's Play,,,,,,,,,,,,
21,Drama,"Ellie and Jake fall in love, but struggle with their relationship when they discover an unexpected connection between their pasts.",Wild and Free,,,,,,,,,,,,
22,Action,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,John Wick,,,,,,,,,,,,
23,Action,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",Spider-Man: Into the Spider-Verse,,,,,,,,,,,,
24,Science Fiction,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",Venom,,,,,,,,,,,,
25,Adventure,A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,Robin Hood,,,,,,,,,,,,
26,Thriller,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",Glass,,,,,,,,,,,,
27,Comedy,"Jack Malik is a struggling singer-songwriter in an English seaside town whose dreams of fame are rapidly fading, despite the fierce devotion and support of his childhood best friend, Ellie. After a freak bus accident during a mysterious global blackout, Jack wakes up to discover that he's the only person on Earth who can remember The Beatles.",Yesterday,,,,,,,,,,,,
28,Mystery,"In a world where people collect pocket-size monsters (PokÃ©mon) to do battle, a boy comes across an intelligent monster who seeks to be a detective.",PokÃ©mon Detective Pikachu,,,,,,,,,,,,
29,Science Fiction,"The new story follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species?”thought to be mere myths?”rise again, they all vie for supremacy, leaving humanity?™s very existence hanging in the balance.",Godzilla: King of the Monsters,,,,,,,,,,,,
