Number,Title,Overview,Genres
0,Toy Story 4,woody always confident place world priority take care kid whether andy bonnie bonnie add reluctant new toy call forky room road trip adventure alongside old new friends show woody big world toy,Adventure
1,Spider-Man: Far from Home,peter parker friends go summer trip europe however hardly able rest peter agree help nick fury uncover mystery creatures cause natural disasters destruction throughout continent,Action
2,Alita: Battle Angel,alita awaken memory future world recognize take ido compassionate doctor realize somewhere abandon cyborg shell heart soul young woman extraordinary past,Action
3,Shazam!,boy give ability become adult superhero time need single magic word,Action
4,Annabelle Comes Home,determine keep annabelle wreak havoc demonologists ed lorraine warren bring possess doll lock artifacts room home place afely behind sacred glass enlist priest holy bless unholy night horror await annabelle awaken evil spirit room set sight new target warrens ten year old daughter judy friends,Horror
5,Shaft,jj aka john shaft jr may cyber security expert degree mit uncover truth behind best friend untimely death need education dad provide absent throughout jj youth legendary lock load john shaft agree help progeny navigate harlem heroin infest underbelly,Action
6,Pet Sematary,dr louis creed wife rachel relocate boston rural maine two young children couple soon discover mysterious burial grind hide deep woods near new home tragedy strike louis turn neighbour jud crandall set perilous chain reaction unleash unspeakable evil horrific consequences,Thriller
7,John Wick: Chapter 3 ??Parabellum,super assassin john wick return million price tag head army bounty hunt killers trail kill member shadowy international assassin guild high table john wick excommunicado world ruthless hit men women await every turn,Crime
8,Detective Conan: The Fist of Blue Sapphire,movie detective conan franchise,Animation
9,Aladdin,kindhearted street urchin name aladdin embark magical adventure find lamp release wisecrack genie power hungry grand vizier vie lamp power make deepest wish come true,Adventure
10,Re: Zero kara Hajimeru Isekai Seikatsu - Memory Snow,subaru friends finally get moment peace subaru go certain secret mission must let anyone find however even though subaru wear disguise petra children village immediately figure mission expose within five second start happen subaru date course emilia,Animation
11,Captain Marvel,story follow carol danvers become one universe powerful heroes earth catch middle galactic war two alien race set captain marvel new adventure previously unseen period history marvel cinematic universe,Action
12,Avengers: Endgame,devastate events avengers infinity war universe ruin due efforts mad titan thanos help remain ally avengers must assemble order undo thanos action restore order universe matter consequences may store,Adventure
13,Dark Phoenix,men face formidable powerful foe one jean grey start spiral control rescue mission outer space jean nearly kill hit mysterious cosmic force return home force make infinitely powerful far unstable men must band together save soul battle alien want use grey new abilities rule galaxy,Science Fiction
14,Avengers: Infinity War,avengers ally continue protect world threats large one hero handle new danger emerge cosmic shadow thanos despot intergalactic infamy goal collect six infinity stone artifacts unimaginable power use inflict twist reality everything avengers fight lead moment fate earth existence never uncertain,Adventure
15,Cars,lightning mcqueen hotshot rookie race car drive succeed discover life journey finish line find unexpectedly detour sleepy route town radiator spring route across country big piston cup championship california compete two season pros mcqueen get know town offbeat character,Animation
16,Men in Black: International,men black always protect earth scum universe new adventure tackle biggest global threat date mole men black organization,Action
17,How to Train Your Dragon: The Hidden World,hiccup fulfill dream create peaceful dragon utopia toothless discovery untamed elusive mate draw night fury away danger mount home hiccup reign village chief test dragon rider must make impossible decisions save kind,Animation
18,After,young woman fall guy dark secret two embark rocky relationship,Drama
19,Dumbo,young elephant whose oversized ears enable fly help save struggle circus circus plan new venture dumbo friends discover dark secrets beneath shiny veneer,Adventure
20,Child's Play,karen single mother gift son andy buddi doll birthday unaware sinister nature contemporary imagine horror classic,Horror
21,Wild and Free,ellie jake fall love struggle relationship discover unexpected connection pasts,Drama
22,John Wick,ex hitman john wick come retirement track gangsters take everything,Action
23,Spider-Man: Into the Spider-Verse,miles morales juggle life high school student spider man wilson kingpin fisk use super collider others across spider verse transport dimension,Action
24,Venom,investigative journalist eddie brock attempt comeback follow scandal accidentally become host venom violent super powerful alien symbiote soon must rely newfound power protect world shadowy organization look symbiote,Science Fiction
25,Robin Hood,war harden crusader moorish commander mount audacious revolt corrupt english crown,Adventure
26,Glass,series escalate encounter former security guard david dunn use supernatural abilities track kevin wendell crumb disturb man twenty four personalities meanwhile shadowy presence elijah price emerge orchestrator hold secrets critical men,Thriller
27,Yesterday,jack malik struggle singer songwriter english seaside town whose dream fame rapidly fade despite fierce devotion support childhood best friend ellie freak bus accident mysterious global blackout jack wake discover person earth remember beatles,Comedy
28,Pokemon Detective Pikachu,world people collect pocket size monsters pokemon battle boy come across intelligent monster seek detective,Mystery
29,Godzilla: King of the Monsters,new story follow heroic efforts crypto zoological agency monarch members face battery god size monsters include mighty godzilla collide mothra rodan ultimate nemesis three head king ghidorah ancient super species hought mere myths ise vie supremacy leave humanity existence hang balance,Science Fiction
